DD-MM-YYYY,Danube,Budapest,France
7/17/2001,7030,1953,225.003
7/18/2001,6790,2061,203.62
7/19/2001,6610,2389,200.449
7/20/2001,6400,2504,227.72
7/21/2001,6140,2552,245.546
7/22/2001,5940,3280,205.325
7/23/2001,5640,3702,166.925
7/24/2001,5400,3537,150.397
7/25/2001,5230,3203,140.507
7/26/2001,5090,3008,118.945
7/27/2001,5020,2921,117.294
7/28/2001,5000,2946,124.741
7/29/2001,5000,2987,114.953
7/30/2001,5090,2966,114.223
7/31/2001,5180,2780,111.146
8/1/2001,5470,2567,109.662
8/2/2001,5740,2392,96.542
8/3/2001,5920,2151,90.469
8/4/2001,6120,1988,95.154
8/5/2001,6270,1906,92.815
8/6/2001,6330,1822,92.905
8/7/2001,6250,2029,92.297
8/8/2001,6270,2156,100.065
8/9/2001,6330,2012,100.217
8/10/2001,6330,1916,102.795
8/11/2001,6300,1940,109.349
8/12/2001,6100,2390,92.329
8/13/2001,5720,2810,88.402
8/14/2001,5420,2520,84.141
8/15/2001,5040,2170,71.872
8/16/2001,4770,2040,77.946
8/17/2001,4580,1780,82.17
8/18/2001,4470,1620,89.262
8/19/2001,4380,1610,89.294
8/20/2001,4380,1880,82.151
8/21/2001,4400,1760,76.751
8/22/2001,4510,1680,75.557
8/23/2001,4540,1880,72.614
8/24/2001,4580,1820,69.912
8/25/2001,4630,1700,67.115
8/26/2001,4580,1650,65.987
8/27/2001,4440,1580,65.426
8/28/2001,4350,1350,65.538
8/29/2001,4260,1220,68.765
8/30/2001,4130,1362,74.18
8/31/2001,4000,1349,86.124
9/1/2001,3960,1313,89.557
9/2/2001,3940,1452,88.243
9/3/2001,3930,1916,74.445
9/4/2001,3850,2038,69.89
9/5/2001,3810,1996,72.686
9/6/2001,3810,1924,77.75
9/7/2001,3930,2430,84.354
9/8/2001,3890,3057,82.412
9/9/2001,3760,3268,81.224
9/10/2001,3780,3642,72.7
9/11/2001,3810,4013,69.929
9/12/2001,4000,3922,75.779
9/13/2001,4260,3592,75.101
9/14/2001,4650,3411,78.157
9/15/2001,4930,3639,80.438
9/16/2001,5350,3491,83.063
9/17/2001,5870,3205,77.728
9/18/2001,6430,3075,75.228
9/19/2001,6850,3419,87.711
9/20/2001,7170,3920,96.294
9/21/2001,7330,3804,139.17
9/22/2001,7410,3250,142.121
9/23/2001,7490,2966,117.382
9/24/2001,7600,2810,103.579
9/25/2001,7760,2713,108.271
9/26/2001,7950,2666,96.887
9/27/2001,8140,2763,89.815
9/28/2001,8270,2913,87.285
9/29/2001,8360,2898,75.952
9/30/2001,8360,2668,69.894
10/1/2001,8420,2482,71.104
10/2/2001,8470,2276,71.313
10/3/2001,8500,2166,90.733
10/4/2001,8500,2158,92.796
10/5/2001,8440,2018,110.576
10/6/2001,8330,1962,116.658
10/7/2001,8330,1906,126.283
10/8/2001,8270,1882,114.291
10/9/2001,8110,1808,104.39
10/10/2001,7870,1769,100.283
10/11/2001,7600,1754,99.811
10/12/2001,7220,1689,98.972
10/13/2001,6790,1704,89.735
10/14/2001,6510,1690,80.435
10/15/2001,6270,1600,70.979
10/16/2001,6020,1583,70.692
10/17/2001,5800,1572,86.213
10/18/2001,5600,1488,90.334
10/19/2001,5400,1440,91.043
10/20/2001,5130,1449,98.18
10/21/2001,4970,1444,120.235
10/22/2001,4810,1375,196.822
10/23/2001,4720,1309,173.559
10/24/2001,4470,1305,154.175
10/25/2001,4350,1353,150.813
10/26/2001,4330,1433,140.867
10/27/2001,4310,1601,130.445
10/28/2001,4220,1572,112.11
10/29/2001,4130,1446,91.372
10/30/2001,4060,1393,90.058
10/31/2001,4000,1411,89.398
11/1/2001,3960,1419,88.468
11/2/2001,3940,1320,83.844
11/3/2001,3960,1265,81.088
11/4/2001,3980,1274,79.056
11/5/2001,3980,1264,76.447
11/6/2001,3960,1281,73.223
11/7/2001,3980,1271,83.452
11/8/2001,3940,1261,95.718
11/9/2001,3930,1240,110.26
11/10/2001,3890,1545,122.967
11/11/2001,3800,1790,125.067
11/12/2001,3670,1861,113.813
11/13/2001,3620,1782,95.623
11/14/2001,3560,1688,119.629
11/15/2001,3530,1713,122.964
11/16/2001,3490,1634,117.978
11/17/2001,3450,1524,139.643
11/18/2001,3450,1446,115.14
11/19/2001,3530,1346,96.18
11/20/2001,3710,1274,95.029
11/21/2001,4000,1254,117.334
11/22/2001,4380,1273,124.606
11/23/2001,4840,1300,110.899
11/24/2001,5280,1363,100.219
11/25/2001,5600,1520,91.74
11/26/2001,5740,1447,93.888
11/27/2001,5820,1376,95.642
11/28/2001,5770,1736,111.196
11/29/2001,5770,2151,124.088
11/30/2001,5670,2331,131.204
12/1/2001,5440,2354,150.736
12/2/2001,5350,2371,163.751
12/3/2001,5370,2389,145.234
12/4/2001,5350,2464,134.756
12/5/2001,5420,2554,138.844
12/6/2001,5570,2492,144.528
12/7/2001,5720,2567,147.839
12/8/2001,5920,3473,154.084
12/9/2001,6070,3558,136.089
12/10/2001,6250,3048,105.027
12/11/2001,6300,2660,109.462
12/12/2001,6380,2349,115.696
12/13/2001,6270,2245,121.28
12/14/2001,6120,2139,121.167
12/15/2001,5970,2041,115.614
12/16/2001,5820,1897,110.293
12/17/2001,5720,1777,92.941
12/18/2001,5670,1689,84.256
12/19/2001,5640,1648,105.148
12/20/2001,5570,1705,99.834
12/21/2001,5370,1651,99.638
12/22/2001,5230,1557,115.032
12/23/2001,4970,1592,93.515
12/24/2001,4860,1524,83.124
12/25/2001,4770,1447,81.463
12/26/2001,4630,1364,82.513
12/27/2001,4560,1328,84.514
12/28/2001,4540,1377,87.059
12/29/2001,4440,1363,104.023
12/30/2001,4420,1555,322.1
12/31/2001,4130,2652,475.841
1/1/2002,4060,3307,319.369
1/2/2002,4020,2871,219.364
1/3/2002,3960,2660,199.241
1/4/2002,3960,2278,179.239
1/5/2002,4060,2078,166.093
1/6/2002,4260,1928,161.863
1/7/2002,4640,1732,148.224
1/8/2002,4940,1602,145.65
1/9/2002,5260,1588,151.336
1/10/2002,5830,1605,178.462
1/11/2002,6300,1637,164.425
1/12/2002,6740,1626,150.309
1/13/2002,7210,1520,125.671
1/14/2002,7470,1445,104.378
1/15/2002,7440,1400,116.259
1/16/2002,7100,1335,144.928
1/17/2002,6790,1360,170.959
1/18/2002,6560,1382,161.865
1/19/2002,6380,1355,150.81
1/20/2002,5960,1310,137.503
1/21/2002,5670,1286,119.291
1/22/2002,5350,1327,121.504
1/23/2002,5100,1905,130.03
1/24/2002,4850,2293,134.028
1/25/2002,4660,2322,147.234
1/26/2002,4480,2365,166.632
1/27/2002,4260,2380,154.785
1/28/2002,4100,2513,139.729
1/29/2002,4000,3204,159.128
1/30/2002,4020,4330,159.762
1/31/2002,4080,4380,158.249
2/1/2002,4000,4182,155.346
2/2/2002,4370,3880,150.092
2/3/2002,4870,3567,128.591
2/4/2002,5400,3193,104.261
2/5/2002,5990,2967,112.021
2/6/2002,6530,2792,150.477
2/7/2002,6920,2694,211.689
2/8/2002,7210,2610,200.516
2/9/2002,7390,2545,187.169
2/10/2002,7500,2470,175.63
2/11/2002,7500,2486,169.884
2/12/2002,7550,2538,160.846
2/13/2002,7520,2666,161.667
2/14/2002,7500,2933,206.929
2/15/2002,7390,3136,349.97
2/16/2002,7340,3246,309.377
2/17/2002,7260,3014,224.355
2/18/2002,7080,2820,189.739
2/19/2002,7000,2610,186.946
2/20/2002,6970,2454,195.174
2/21/2002,7050,2470,358.051
2/22/2002,7050,2558,531.816
2/23/2002,6950,2804,413.836
2/24/2002,6970,2811,365.635
2/25/2002,7050,2812,316.803
2/26/2002,7230,2776,295.708
2/27/2002,7360,2994,336.971
2/28/2002,7440,3350,510.818
3/1/2002,7500,3676,497.409
3/2/2002,7550,3838,462.086
3/3/2002,7660,3826,452.411
3/4/2002,7770,3667,405.648
3/5/2002,7880,3440,366.263
3/6/2002,8030,3149,335.669
3/7/2002,8080,2972,303.569
3/8/2002,8030,2934,269.337
3/9/2002,8110,2726,263.422
3/10/2002,8230,2581,225.114
3/11/2002,8200,2511,216.104
3/12/2002,8230,2412,209.749
3/13/2002,8320,2307,216.365
3/14/2002,8320,2186,221.257
3/15/2002,8350,2141,219.297
3/16/2002,8290,2137,244.673
3/17/2002,8230,2105,211.446
3/18/2002,8080,2042,191.126
3/19/2002,7970,2028,292.698
3/20/2002,7770,2030,466.678
3/21/2002,7580,2341,414.848
3/22/2002,7340,3774,336.541
3/23/2002,7180,5077,284.646
3/24/2002,7080,6433,232.137
3/25/2002,7160,7082,201.541
3/26/2002,7160,7502,198
